
2475345379984587|11/29|239'
2475377307102529|02/28|189'
2475397536389622|11/26|211'
2475311733754041|09/26|765'
2475390017330090|02/25|894'
2475358262087244|10/29|600'
2475308694099796|09/28|744'
2475319272864733|09/24|494'
2475368474668020|01/27|382'
2475363807403633|11/25|375'
2475389359503082|08/29|137'
2475353167148282|12/29|827'
17637856345609879|11/24|548'
17637856345609879|05/28|765'
17637856345609879|03/28|154'
17637856345609879|01/24|160'
17637856345609879|07/30|346'
17637856345609879|02/28|251'
17637856345609879|08/23|362'
17637856345609879|01/23|699'
17637856345609879|12/27|513'
17637856345609879|11/23|661'
17637856345609879|03/29|360'
17637856345609879|01/27|376'
17637856345609879|02/27|588'
17637856345609879|09/27|528'
17637856345609879|05/23|861'
